School Board,Type,Language,Headquarters,Number of Elementary and Intermediate Schools,Number of Secondary Schools
Algoma District School Board,Public,English,Sault Ste. Marie,41,12
Avon Maitland District School Board,Public,English,Seaforth,38,10
Bluewater District School Board,Public,English,Chesley,42,11
District School Board of Niagara,Public,English,St. Catharines,90,20
District School Board Ontario North East,Public,English,Timmins,26,11
Durham District School Board,Public,English,Whitby,107,20
Grand Erie District School Board,Public,English,Brantford,59,14
Greater Essex County District School Board,Public,English,Windsor,59,17
Halton District School Board,Public,English,Burlington,85,17
Hamilton-Wentworth District School Board,Public,English,Hamilton,95,21
Hastings & Prince Edward District School Board,Public,English,Belleville,40,9
James Bay Lowlands Secondary School Board,Public,English,Moosonee,0,1
Kawartha Pine Ridge District School Board,Public,English,Peterborough,73,16
Keewatin-Patricia District School Board,Public,English,Kenora,17,6
Lakehead District School Board,Public,English,Thunder Bay,26,5
Lambton Kent District School Board,Public,English,Sarnia,55,13
Limestone District School Board,Public,English,Kingston,53,12
Moose Factory Island District School Area Board,Public,English,Moose Factory,1,0
Moosonee District School Area Board,Public,English,Moosonee,1,0
Near North District School Board,Public,English,North Bay,36,8
Ottawa-Carleton District School Board,Public,English,Ottawa,118,31
Peel District School Board,Public,English,Mississauga,213,42
Rainbow District School Board,Public,English,Sudbury,38,11
Rainy River District School Board,Public,English,Fort Frances,11,3
Renfrew County District School Board,Public,English,Pembroke,25,9
Simcoe County District School Board,Public,English,Midhurst,87,23
Superior-Greenstone District School Board,Public,English,Marathon,12,5
Thames Valley District School Board,Public,English,London,133,30
Toronto District School Board,Public,English,Toronto,473,105
Trillium Lakelands District School Board,Public,English,Lindsay,40,8
Upper Canada District School Board,Public,English,Brockville,83,24
Upper Grand District School Board,Public,English,Guelph,66,14
Waterloo Region District School Board,Public,English,Kitchener,103,17
York Region District School Board,Public,English,Aurora,175,33
Conseil des écoles publiques de l'Est de l'Ontario,Public,French,Ottawa,32,14
Conseil scolaire Viamonde,Public,French,Toronto,47,14
Conseil scolaire de district du Grand Nord de l'Ontario,Public,French,Sudbury,15,9
Conseil scolaire de district du Nord-Est de l'Ontario,Public,French,North Bay,9,6
Algonquin and Lakeshore Catholic District School Board,Public Catholic,English,Napanee,37,6
Brant Haldimand Norfolk Catholic District School Board,Public Catholic,English,Brantford,30,4
Bruce-Grey Catholic District School Board,Public Catholic,English,Hanover,11,2
Catholic District School Board of Eastern Ontario,Public Catholic,English,Kemptville,41,10
Dufferin-Peel Catholic District School Board,Public Catholic,English,Mississauga,125,26
Durham Catholic District School Board,Public Catholic,English,Oshawa,38,8
Halton Catholic District School Board,Public Catholic,English,Burlington,45,10
Hamilton-Wentworth Catholic District School Board,Public Catholic,English,Hamilton,48,8
Huron-Perth Catholic District School Board,Public Catholic,English,Dublin,16,2
Huron-Superior Catholic District School Board,Public Catholic,English,Sault Ste. Marie,20,3
Kenora Catholic District School Board,Public Catholic,English,Kenora,5,1
London District Catholic School Board,Public Catholic,English,London,46,9
Niagara Catholic District School Board,Public Catholic,English,Welland,51,8
Nipissing-Parry Sound Catholic District School Board,Public Catholic,English,North Bay,12,1
Northeastern Catholic District School Board,Public Catholic,English,Timmins,13,2
Northwest Catholic District School Board,Public Catholic,English,Fort Frances,6,0
Ottawa Catholic School Board,Public Catholic,English,Ottawa,66,17
Peterborough Victoria Northumberland and Clarington Catholic District School Board,Public Catholic,English,Peterborough,31,6
Renfrew County Catholic District School Board,Public Catholic,English,Pembroke,22,2
Simcoe Muskoka Catholic District School Board,Public Catholic,English,Barrie,41,9
St. Clair Catholic District School Board,Public Catholic,English,Wallaceburg,26,2
Sudbury Catholic District School Board,Public Catholic,English,Sudbury,17,4
Superior North Catholic District School Board,Public Catholic,English,Terrace Bay,9,0
Thunder Bay Catholic District School Board,Public Catholic,English,Thunder Bay,18,3
Toronto Catholic District School Board,Public Catholic,English,Toronto,167,29
Waterloo Catholic District School Board,Public Catholic,English,Kitchener,46,6
Wellington Catholic District School Board,Public Catholic,English,Guelph,17,4
Windsor-Essex Catholic District School Board,Public Catholic,English,Windsor,39,10
York Catholic District School Board,Public Catholic,English,Aurora,90,16
Conseil des écoles catholiques du Centre-Est,Public Catholic,French,Ottawa,50,10
Conseil scolaire catholique MonAvenir,Public Catholic,French,Toronto,55,10
Conseil scolaire de district catholique de l'Est ontarien,Public Catholic,French,L'Orignal,32,8
Conseil scolaire de district catholique des Aurores boréales,Public Catholic,French,Thunder Bay,10,2
Conseil scolaire catholique de district des Grandes-Rivières,Public Catholic,French,Timmins,34,11
Conseil scolaire catholique du Nouvel-Ontario,Public Catholic,French,Sudbury,29,10
Conseil scolaire catholique Franco-Nord,Public Catholic,French,North Bay,13,3
Conseil scolaire catholique Providence,Public Catholic,French,Windsor,26,8
Penetanguishene Protestant Separate School Board,Public Protestant,English,Penetanguishene,1,0
Bloorview School Authority,Public (Children's Treatment Centre),English,Toronto,1,0
Campbell Children's School Authority,Public (Children's Treatment Centre),English,Oshawa,1,0
John McGivney Children's Centre School Authority,Public (Children's Treatment Centre),English,Windsor,1,0
Niagara Peninsula Children's Centre School Authority,Public (Children's Treatment Centre),English,St. Catharines,1,0
Ottawa Children's Treatment Centre School Authority,Public (Children's Treatment Centre),English,Ottawa,1,0
Provincial Schools Branch (Ontario Ministry of Education),"Public (Schools for Deaf, blind, deafblind, and/or severely learning disabled students)",English/French,Milton,11,11
The KidsAbility School Authority,Public (Children's Treatment Centre),English,Waterloo,1,0
